ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Service Wise,RPO Goa,REISSUE,483,1888,21392,29:09.8
Applications Granted - PV Mode wise,RPO Goa,No Verification,234,698,8127,29:09.8
Applications Granted - PV Mode wise,RPO Goa,Post Verification,190,808,8179,29:09.8
Applications Granted - PV Mode wise,RPO Goa,Pre Verification,450,2261,24688,29:09.8
PV Processing Time,RPO Goa,Within 21 Days,700,2996,29802,29:09.8
Applications Received - Scheme wise,RPO Guwahati,Normal,2976,12045,113081,29:09.8
Applications Received - Scheme wise,RPO Guwahati,Tatkaal,197,1354,11196,29:09.8
Applications Received - Gender wise,RPO Guwahati,FEMALE,1159,5046,47510,29:09.8
Applications Received - Gender wise,RPO Guwahati,MALE,2014,8353,76763,29:09.8
Applications with Aadhaar Number,RPO Guwahati,Count of Applications,3173,13399,124276,29:09.8
Applications - Education Wise,RPO Guwahati,10TH PASS AND ABOVE,1031,4439,44480,29:09.8
